Date,Time,Temperature
2022-01-01,10:00:00,37.86
2022-01-01,10:10:00,39.97
2022-01-01,10:20:00,33.02
2022-01-01,10:30:00,23.4
2022-01-01,10:40:00,25.61
2022-01-01,10:50:00,28.2
2022-01-01,11:00:00,31.12
2022-01-01,11:10:00,26.18
2022-01-01,11:20:00,20.54
2022-01-01,11:30:00,35.05
2022-01-01,11:40:00,35.6
2022-01-01,11:50:00,24.25
2022-01-01,12:00:00,35.96
2022-01-01,12:10:00,38.51
2022-01-01,12:20:00,29.7
2022-01-01,12:30:00,26.24
2022-01-01,12:40:00,25.21
2022-01-01,12:50:00,34.3
2022-01-01,13:00:00,20.18
2022-01-01,13:10:00,21.81
2022-01-01,13:20:00,30.12
2022-01-01,13:30:00,31.84
2022-01-01,13:40:00,23.62
2022-01-01,13:50:00,25.94
2022-01-01,14:00:00,22.09
2022-01-01,14:10:00,31.46
2022-01-01,14:20:00,30.61
2022-01-01,14:30:00,30.83
2022-01-01,14:40:00,39.32
2022-01-01,14:50:00,21.72
2022-01-01,15:00:00,20.2
2022-01-01,15:10:00,20.66
2022-01-01,15:20:00,32.33
2022-01-01,15:30:00,36.24
2022-01-01,15:40:00,36.4
2022-01-01,15:50:00,33.87
2022-01-01,16:00:00,26.47
2022-01-01,16:10:00,30.51
2022-01-01,16:20:00,26.15
2022-01-01,16:30:00,33.3
2022-01-01,16:40:00,29.33
2022-01-01,16:50:00,20.14
2022-01-01,17:00:00,20.97
